#options: 640x1138 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=901 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:32 out:33 type:b dur:2 cpbdur:2 q:40.23 aq:39.59 tex:5820 mv:10851 misc:2409 imb:148 pmb:807 smb:1925 d:- ref:0 ;
in:35 out:34 type:P dur:2 cpbdur:2 q:40.42 aq:37.23 tex:19768 mv:13219 misc:2629 imb:573 pmb:899 smb:1408 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:40.35 aq:40.90 tex:2110 mv:6210 misc:1904 imb:49 pmb:546 smb:2285 d:- ref:0 ;
in:38 out:36 type:P dur:2 cpbdur:2 q:40.25 aq:36.79 tex:35710 mv:17691 misc:2191 imb:1137 pmb:920 smb:823 d:- ref:0 ;
in:36 out:37 type:B dur:2 cpbdur:2 q:40.36 aq:38.65 tex:6824 mv:11664 misc:2608 imb:143 pmb:955 smb:1782 d:- ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:40.31 aq:39.50 tex:2088 mv:6992 misc:2144 imb:56 pmb:625 smb:2199 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:40.24 aq:35.98 tex:43670 mv:19107 misc:1903 imb:1296 pmb:896 smb:688 d:- ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:40.24 aq:37.83 tex:10332 mv:14873 misc:2675 imb:236 pmb:1050 smb:1594 d:- ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:40.25 aq:39.73 tex:2182 mv:6408 misc:2170 imb:64 pmb:623 smb:2193 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:40.24 aq:38.94 tex:3420 mv:9072 misc:2284 imb:106 pmb:727 smb:2047 d:- ref:0 ;
in:45 out:43 type:P dur:2 cpbdur:2 q:40.22 aq:36.54 tex:40043 mv:15944 misc:2173 imb:882 pmb:936 smb:1062 d:- ref:0 ;
in:43 out:44 type:B dur:2 cpbdur:2 q:40.23 aq:38.69 tex:3099 mv:7393 misc:2308 imb:65 pmb:717 smb:2098 d:- ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:40.23 aq:38.39 tex:3020 mv:8264 misc:2164 imb:84 pmb:670 smb:2126 d:- ref:0 ;
in:48 out:46 type:P dur:2 cpbdur:2 q:40.17 aq:36.56 tex:32068 mv:15028 misc:2288 imb:741 pmb:975 smb:1164 d:- ref:0 ;
in:46 out:47 type:B dur:2 cpbdur:2 q:40.21 aq:38.48 tex:2645 mv:6817 misc:2106 imb:61 pmb:620 smb:2199 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:40.19 aq:39.05 tex:2973 mv:7660 misc:2047 imb:78 pmb:615 smb:2187 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:40.02 aq:38.29 tex:19107 mv:11735 misc:2414 imb:605 pmb:698 smb:1577 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:40.10 aq:38.69 tex:5410 mv:9964 misc:2354 imb:89 pmb:828 smb:1963 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:40.13 aq:39.11 tex:1792 mv:5870 misc:1786 imb:29 pmb:530 smb:2321 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:40.06 aq:41.11 tex:2070 mv:5183 misc:1931 imb:30 pmb:546 smb:2304 d:- ref:0 ;
in:53 out:53 type:I dur:2 cpbdur:2 q:37.44 aq:31.66 tex:209282 mv:64470 misc:184 imb:2880 pmb:0 smb:0 d:- ref:;
in:57 out:54 type:P dur:2 cpbdur:2 q:41.31 aq:37.60 tex:24881 mv:8346 misc:1941 imb:233 pmb:674 smb:1973 d:- ref:0 ;
in:55 out:55 type:B dur:2 cpbdur:2 q:41.31 aq:41.60 tex:1519 mv:4076 misc:1389 imb:6 pmb:413 smb:2461 d:- ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:41.31 aq:45.00 tex:116 mv:1526 misc:838 imb:1 pmb:188 smb:2691 d:- ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:41.31 aq:43.55 tex:608 mv:2312 misc:912 imb:7 pmb:206 smb:2667 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:40.72 aq:36.41 tex:18619 mv:8239 misc:2366 imb:169 pmb:862 smb:1849 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:41.02 aq:41.14 tex:1097 mv:3189 misc:1218 imb:6 pmb:296 smb:2578 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:41.16 aq:41.29 tex:316 mv:1306 misc:802 imb:4 pmb:150 smb:2726 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:40.87 aq:42.76 tex:195 mv:1500 misc:1001 imb:1 pmb:215 smb:2664 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:40.09 aq:34.90 tex:25840 mv:9567 misc:2449 imb:241 pmb:954 smb:1685 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:40.40 aq:40.70 tex:1882 mv:3740 misc:1410 imb:17 pmb:401 smb:2462 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:40.56 aq:42.85 tex:328 mv:2195 misc:997 imb:5 pmb:217 smb:2658 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:40.24 aq:42.55 tex:453 mv:1167 misc:748 imb:0 pmb:144 smb:2736 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:39.56 aq:34.32 tex:38067 mv:11563 misc:2434 imb:286 pmb:1161 smb:1433 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:39.82 aq:38.69 tex:3358 mv:4921 misc:1337 imb:34 pmb:395 smb:2451 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:39.95 aq:40.79 tex:587 mv:1748 misc:889 imb:15 pmb:187 smb:2678 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:39.69 aq:41.01 tex:1036 mv:2595 misc:961 imb:20 pmb:218 smb:2642 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:39.19 aq:34.12 tex:28456 mv:10358 misc:2538 imb:206 pmb:1246 smb:1428 d:- ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:39.38 aq:38.63 tex:1289 mv:3262 misc:1257 imb:13 pmb:303 smb:2564 d:- ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:39.47 aq:37.05 tex:306 mv:1152 misc:622 imb:1 pmb:114 smb:2765 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:39.29 aq:39.69 tex:237 mv:1463 misc:948 imb:3 pmb:203 smb:2674 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:38.71 aq:34.09 tex:34512 mv:11208 misc:2584 imb:209 pmb:1308 smb:1363 d:- ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:38.95 aq:39.31 tex:1820 mv:3861 misc:1487 imb:13 pmb:411 smb:2456 d:- ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:39.07 aq:41.25 tex:660 mv:2062 misc:862 imb:1 pmb:193 smb:2686 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:38.83 aq:41.39 tex:473 mv:1085 misc:586 imb:5 pmb:103 smb:2772 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:38.31 aq:33.09 tex:55425 mv:14091 misc:2212 imb:315 pmb:1488 smb:1077 d:- ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:38.51 aq:38.06 tex:3094 mv:5497 misc:1689 imb:20 pmb:545 smb:2315 d:- ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:38.61 aq:36.75 tex:707 mv:1667 misc:842 imb:7 pmb:185 smb:2688 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:38.41 aq:40.20 tex:1728 mv:3220 misc:1172 imb:24 pmb:281 smb:2575 d:- ref:0 ;
in:85 out:82 type:P dur:2 cpbdur:2 q:38.12 aq:32.66 tex:43726 mv:11832 misc:2370 imb:168 pmb:1459 smb:1253 d:- ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:38.22 aq:36.21 tex:1671 mv:3682 misc:1375 imb:9 pmb:365 smb:2506 d:- ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:38.26 aq:37.41 tex:494 mv:2193 misc:985 imb:2 pmb:219 smb:2659 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:38.17 aq:37.58 tex:532 mv:1570 misc:1002 imb:2 pmb:205 smb:2673 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:37.81 aq:32.63 tex:38631 mv:9999 misc:2490 imb:111 pmb:1435 smb:1334 d:- ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:37.96 aq:37.99 tex:1057 mv:2846 misc:1417 imb:1 pmb:340 smb:2539 d:- ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:38.04 aq:40.03 tex:588 mv:899 misc:513 imb:0 pmb:91 smb:2789 d:- ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:37.88 aq:38.33 tex:229 mv:303 misc:340 imb:0 pmb:30 smb:2850 d:- ref:0 ;
